session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny_open,1,3.0,0.45,0.7,8.0,100.0,9,0.026165960024227743,0.047777777777777794,0.5555555555555556,4,0.07145515444733905,-0.09999999999999998,0.5,0.0475665253381789
ny_open,1,3.0,0.45,0.7,10.0,100.0,9,0.026165960024227743,0.047777777777777794,0.5555555555555556,4,0.07145515444733905,-0.09999999999999998,0.5,0.0475665253381789
london_open,3,2.0,0.45,0.6,8.0,100.0,37,0.10191570148340139,-0.20756756756756753,0.43243243243243246,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.04741432532786532
london_open,3,2.0,0.45,0.6,10.0,100.0,37,0.10191570148340139,-0.20756756756756753,0.43243243243243246,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.04741432532786532
london_open,4,2.0,0.45,0.6,8.0,100.0,37,0.10191570148340139,-0.20756756756756753,0.43243243243243246,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.04741432532786532
london_open,4,2.0,0.45,0.6,10.0,100.0,37,0.10191570148340139,-0.20756756756756753,0.43243243243243246,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.04741432532786532
all,2,2.0,0.7,0.6,14.0,100.0,274,0.692240887758235,-0.17697080291970796,0.4489051094890511,76,0.9224156095916389,-0.26934210526315794,0.42105263157894735,0.04640058823163162
all,2,3.0,0.7,0.6,14.0,100.0,259,0.6543444887933682,-0.1622393822393822,0.4555984555984556,73,0.8860044671077584,-0.2616438356164384,0.4246575342465753,0.04592697148798022
london_open,3,3.0,0.45,0.7,14.0,100.0,25,0.0728848217358735,-0.2775999999999999,0.4,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.04461251990273029
london_open,4,3.0,0.45,0.7,14.0,100.0,25,0.0728848217358735,-0.2775999999999999,0.4,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.04461251990273029
ny_open,1,3.0,0.45,0.6,8.0,100.0,11,0.031980617807389464,0.027272727272727296,0.5454545454545454,4,0.07145515444733905,-0.09999999999999998,0.5,0.044123396288750644
ny_open,1,3.0,0.45,0.6,10.0,100.0,11,0.031980617807389464,0.027272727272727296,0.5454545454545454,4,0.07145515444733905,-0.09999999999999998,0.5,0.044123396288750644
all,4,0.0,0.7,0.65,14.0,100.0,412,1.0366319247267677,-0.1787135922330097,0.44902912621359226,103,1.19319415952697,-0.38291262135922344,0.36893203883495146,0.04396487719056874
all,4,3.0,0.7,0.65,14.0,100.0,351,0.8867757357778849,-0.18911680911680911,0.4444444444444444,91,1.05418124773742,-0.34879120879120884,0.38461538461538464,0.04325950205993187
london_open,2,0.0,0.45,0.6,12.0,100.0,29,0.07988063812693676,-0.021379310344827512,0.5172413793103449,10,0.18551919608348363,-0.09999999999999998,0.5,0.04256233452193911
london_open,2,1.0,0.45,0.6,12.0,100.0,27,0.07437162860094113,-0.017407407407407316,0.5185185185185185,10,0.18551919608348363,-0.09999999999999998,0.5,0.04231877016463271
london_open,2,2.0,0.45,0.6,12.0,100.0,27,0.07437162860094113,-0.017407407407407316,0.5185185185185185,10,0.18551919608348363,-0.09999999999999998,0.5,0.04231877016463271
all,4,1.0,0.7,0.7,12.0,100.0,393,0.9928856528795122,-0.1667684478371501,0.4529262086513995,103,1.19319415952697,-0.40446601941747584,0.3592233009708738,0.04178237280026567
ny,1,3.0,0.45,0.6,8.0,100.0,17,0.04581524180266507,-0.002941176470588251,0.5294117647058824,8,0.10677047129153344,-0.09625,0.5,0.04173290130170948
ny,1,3.0,0.45,0.6,10.0,100.0,17,0.04581524180266507,-0.002941176470588251,0.5294117647058824,8,0.10677047129153344,-0.09625,0.5,0.04173290130170948
london_open,3,3.0,0.45,0.75,14.0,100.0,20,0.0583078573886988,-0.27749999999999997,0.4,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.041717127033295345
london_open,4,3.0,0.45,0.75,14.0,100.0,20,0.0583078573886988,-0.27749999999999997,0.4,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.041717127033295345
all,4,2.0,0.7,0.6,12.0,100.0,442,1.1166805561647442,-0.17004524886877825,0.45248868778280543,116,1.3437914806323157,-0.35965517241379313,0.3793103448275862,0.04136548027898751
all,3,0.0,0.7,0.65,14.0,100.0,396,0.9963743742519416,-0.1759090909090909,0.4494949494949495,100,1.1584409315795825,-0.4027000000000001,0.36,0.0413528041433176
london_open,3,3.0,0.45,0.6,8.0,100.0,33,0.09089865717892803,-0.22484848484848483,0.42424242424242425,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.0413452326012868
london_open,3,3.0,0.45,0.6,10.0,100.0,33,0.09089865717892803,-0.22484848484848483,0.42424242424242425,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.0413452326012868
london_open,4,3.0,0.45,0.6,8.0,100.0,33,0.09089865717892803,-0.22484848484848483,0.42424242424242425,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.0413452326012868
london_open,4,3.0,0.45,0.6,10.0,100.0,33,0.09089865717892803,-0.22484848484848483,0.42424242424242425,13,0.24117495490852872,-0.015384615384615365,0.5384615384615384,0.0413452326012868
all,3,2.0,0.7,0.6,12.0,100.0,427,1.078784157199877,-0.16953161592505853,0.4519906323185012,113,1.3090382526849282,-0.37654867256637164,0.37168141592920356,0.04065761592899106
all,4,2.0,0.45,0.6,14.0,100.0,139,0.3629736419769877,-0.23107913669064747,0.4244604316546763,39,0.45179196331603716,-0.12461538461538457,0.48717948717948717,0.04024294828102753
all,3,2.0,0.7,0.65,14.0,100.0,357,0.9019342953638317,-0.19728291316526608,0.43977591036414565,92,1.065765657053216,-0.3580434782608697,0.3804347826086957,0.03984298500139863
ny_open,4,1.0,0.45,0.7,14.0,100.0,32,0.09303452453058753,-0.060624999999999936,0.5,8,0.12502034836399153,-0.09374999999999994,0.5,0.03929440490611753
all,3,3.0,0.45,0.6,14.0,100.0,126,0.3290264668280608,-0.2047619047619047,0.4365079365079365,37,0.4286231446844455,-0.12594594594594594,0.4864864864864865,0.03865128221160104
london_open,3,2.0,0.45,0.65,14.0,100.0,29,0.0845455373682772,-0.32275862068965516,0.3793103448275862,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.03687845613265928
london_open,4,2.0,0.45,0.65,14.0,100.0,29,0.0845455373682772,-0.32275862068965516,0.3793103448275862,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.03687845613265928
