scenario_id,htf_alignment_mode,symbol,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,strict_h4_h1_alignment,USDJPY,time_30min_and_0_5r_break_even,57,17,0.2982456140350877,-32.48999999999997,468.98,-501.46999999999997,0.9352104811853152,-1.0866000000000002,-0.019063157894736848,0.9497360983259244,172.67999999999998,1.7268,-0.18815149409312004,17,0.2982456140350877,26,0.45614035087719296,14,0.24561403508771928,11,0.19298245614035087,15,0.2631578947368421,0.7223736842105264,0.7518631578947366
clean_first120,h1_confirmed_h4_not_opposite,AUDJPY,break_even_at_1_0r,3,0,0.0,-49.72,0,-49.72,0.0,-2.3337,-0.7778999999999999,0.0,49.72,0.4972,-1.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0.25889999999999996,0.8318333333333333
clean_first120,h1_confirmed_h4_not_opposite,AUDJPY,break_even_at_1_1r,3,0,0.0,-49.72,0,-49.72,0.0,-2.3337,-0.7778999999999999,0.0,49.72,0.4972,-1.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0.25889999999999996,0.8318333333333333
clean_first120,h1_confirmed_h4_not_opposite,AUDJPY,no_break_even,3,0,0.0,-49.72,0,-49.72,0.0,-2.3337,-0.7778999999999999,0.0,49.72,0.4972,-1.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0.0,0.7778999999999999
clean_first120,h1_confirmed_h4_not_opposite,AUDJPY,time_30min_and_0_5r_break_even,3,0,0.0,-49.78,0,-49.78,0.0,-2.3337,-0.7778999999999999,0.0,49.78,0.49779999999999996,-1.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0.25889999999999996,0.8318333333333333
clean_first120,h1_confirmed_h4_not_opposite,EURJPY,break_even_at_1_0r,4,0,0.0,-81.73,0,-81.73,0.0,-3.4103,-0.852575,0.0,81.73,0.8172999999999999,-1.0,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0.1812,0.8896499999999999
clean_first120,h1_confirmed_h4_not_opposite,EURJPY,break_even_at_1_1r,4,0,0.0,-81.73,0,-81.73,0.0,-3.4103,-0.852575,0.0,81.73,0.8172999999999999,-1.0,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0.1812,0.8896499999999999
clean_first120,h1_confirmed_h4_not_opposite,EURJPY,no_break_even,4,0,0.0,-81.73,0,-81.73,0.0,-3.4103,-0.852575,0.0,81.73,0.8172999999999999,-1.0,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0.0,0.852575
clean_first120,h1_confirmed_h4_not_opposite,EURJPY,time_30min_and_0_5r_break_even,4,0,0.0,-80.60000000000001,0,-80.60000000000001,0.0,-3.4103,-0.852575,0.0,80.60000000000001,0.8060000000000002,-1.0,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0.1812,0.8896499999999999
clean_first120,h1_confirmed_h4_not_opposite,EURUSD,break_even_at_1_0r,5,0,0.0,-78.77000000000001,0,-78.77000000000001,0.0,-3.4957,-0.69914,0.0,78.77000000000001,0.7877000000000001,-1.0,3,0.6,0,0.0,0,0.0,0,0.0,2,0.4,0.45036,0.7591399999999999
clean_first120,h1_confirmed_h4_not_opposite,EURUSD,break_even_at_1_1r,5,0,0.0,-78.77000000000001,0,-78.77000000000001,0.0,-3.4957,-0.69914,0.0,78.77000000000001,0.7877000000000001,-1.0,3,0.6,0,0.0,0,0.0,0,0.0,2,0.4,0.45036,0.7591399999999999
clean_first120,h1_confirmed_h4_not_opposite,EURUSD,no_break_even,5,0,0.0,-78.77000000000001,0,-78.77000000000001,0.0,-3.4957,-0.69914,0.0,78.77000000000001,0.7877000000000001,-1.0,3,0.6,0,0.0,0,0.0,0,0.0,2,0.4,0.0,0.69914
clean_first120,h1_confirmed_h4_not_opposite,EURUSD,time_30min_and_0_5r_break_even,5,0,0.0,-75.67,0,-75.67,0.0,-3.387,-0.6774,0.0,75.67,0.7567,-1.0,3,0.6,1,0.2,1,0.2,0,0.0,1,0.2,0.44514,0.7591399999999999
clean_first120,h1_confirmed_h4_not_opposite,GBPJPY,break_even_at_1_0r,1,1,1.0,34.97,34.97,0,inf,1.5175,1.5175,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1.5175,0.6713
clean_first120,h1_confirmed_h4_not_opposite,GBPJPY,break_even_at_1_1r,1,1,1.0,34.97,34.97,0,inf,1.5175,1.5175,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1.5175,0.6713
