min_trades,rank,enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
20,9,cond_h4_bias_ma,1,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
20,10,cond_h4_bias_ma;cond_h1_prev_extreme_break,2,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
20,11,cond_h4_bias_ma;cond_true_bos_level,2,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
20,12,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_true_bos_level,3,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
20,13,cond_h4_bias_ma;cond_h1_counter_wave_atr,2,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
20,14,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr,3,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
20,15,cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_true_bos_level,3,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
20,16,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level,4,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
20,17,cond_h1_counter_nwave;cond_room_to_2r,2,21,21,42.86,1.436,0.28,259.82,147.91,1.44,1.308,1.084,52.38,42.86,87.11,172.71,-57.73,317.55,7,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:14
20,18,cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_room_to_2r,3,21,21,42.86,1.436,0.28,259.82,147.91,1.44,1.308,1.084,52.38,42.86,87.11,172.71,-57.73,317.55,7,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:14
20,19,cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,3,21,21,42.86,1.436,0.28,259.82,147.91,1.44,1.308,1.084,52.38,42.86,87.11,172.71,-57.73,317.55,7,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:14
20,20,cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,3,21,21,42.86,1.436,0.28,259.82,147.91,1.44,1.308,1.084,52.38,42.86,87.11,172.71,-57.73,317.55,7,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:14
