period,variant,scenario,symbol,direction,month,session,regime,is_xauusd,reversal_signal_type,wave_audit_label,sl_mode,reward_r,current_result_R,current_profit,shadow_outcome,shadow_result_R,shadow_profit,tp_hit,sl_hit,same_bar_ambiguous,time_to_tp_minutes,time_to_sl_minutes,mae_R,mfe_R,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,hypothetical_lot_size,invalid_stops,sl_too_tight,sl_too_wide,not_enough_money,delta_result_R_vs_current
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.3,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,17.809999999999764,17809999999.999763,0.03,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.5,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,20.549999999999727,20549999999.999725,0.03,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,16.43999999999978,16439999999.99978,0.03,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,17.809999999999764,17809999999.999763,0.03,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,20.549999999999727,20549999999.999725,0.03,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,15.0,1.0222,0.1136,7.220000000000255,7220000000.000255,8.664000000000305,8664000000.000305,0.0569,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,15.0,1.0222,0.1136,7.220000000000255,7220000000.000255,9.386000000000331,9386000000.00033,0.0569,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,15.0,1.0222,0.1136,7.220000000000255,7220000000.000255,10.830000000000382,10830000000.000381,0.0569,0,0,0,0,0.0015
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,EURJPY,LONG,2025-02,server_16_23,REGIME_TREND_UP,FX,unclear,third_wave_middle,CURRENT_SL,1.2,1.5021,75.07,tp,1.2,59.97,1,0,0,50.0,,0.2405,1.4726,0.23699999999999477,236999999.99999475,0.2843999999999937,284399999.9999937,0.32,0,0,0,0,-0.3021
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,EURJPY,LONG,2025-02,server_16_23,REGIME_TREND_UP,FX,unclear,third_wave_middle,CURRENT_SL,1.3,1.5021,75.07,tp,1.3,64.97,1,0,0,50.0,,0.2405,1.4726,0.23699999999999477,236999999.99999475,0.3080999999999932,308099999.9999932,0.32,0,0,0,0,-0.2021
