period,run,scenario,trade_index,open_time,close_time,symbol,direction,net_profit,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,did_price_reverse_after_1R,did_price_reverse_after_1_5R,mfe_bucket,failure_type,winning_type
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,18,2026.02.27 12:35:00,2026.02.27 13:55:08,XAUUSD,SHORT,-46.2,-1.011,0.208,1.408,0,0,0,0,0,,,,,,80.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,19,2026.03.02 21:20:00,2026.03.03 08:14:13,XAUUSD,LONG,-38.35,-1.01,1.459,1.245,1,1,0,0,0,50.0,340.0,,,,650.0,1,0,0,1,0,1-1.5R,target_too_far,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,20,2026.03.04 14:35:00,2026.03.06 18:43:56,GBPUSD,SHORT,-47.82,-1.003,1.978,1.127,1,1,1,0,0,20.0,950.0,1040.0,,,3130.0,1,1,0,1,1,1.5-2R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,21,2026.03.11 17:35:00,2026.03.11 18:14:56,EURUSD,LONG,-47.52,-1.008,0.382,1.076,0,0,0,0,0,,,,,,35.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,22,2026.03.18 20:50:00,2026.03.18 21:39:53,GBPUSD,LONG,-45.8,-1.004,0.496,1.232,0,0,0,0,0,,,,,,45.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,23,2026.03.20 09:05:00,2026.03.20 11:19:23,XAUUSD,SHORT,-30.59,-1.043,1.146,1.274,1,1,0,0,0,20.0,35.0,,,,130.0,1,0,0,1,0,1-1.5R,target_too_far,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,24,2026.03.20 11:50:00,2026.03.20 13:56:26,XAUUSD,SHORT,57.29,2.004,2.053,0.162,1,1,1,1,0,40.0,55.0,70.0,125.0,,,0,0,1,0,0,2R+,,strong_body_breakout
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,25,2026.03.24 11:20:00,2026.03.24 12:30:01,GBPUSD,LONG,-47.36,-1.035,0.0,1.133,0,0,0,0,0,,,,,,70.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,26,2026.03.24 12:50:00,2026.03.24 16:07:17,GBPUSD,LONG,-46.41,-1.0,1.622,2.546,1,1,1,0,0,5.0,30.0,80.0,,,195.0,1,1,0,1,1,1.5-2R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,27,2026.03.26 14:05:00,2026.03.26 19:21:27,XAUUSD,LONG,-34.93,-1.073,1.019,1.812,1,1,0,0,0,195.0,210.0,,,,315.0,1,0,0,1,0,1-1.5R,false_breakout,
