period,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,label,breakout_quality_label,context_quality_label,context_quality_score,sl_atr,breakout_body_atr
2025,E,context_router_v2_all_r12,9,2025-02-12 01:50:00,2025-02-12 02:04:30,XAUUSD,XAUUSD,LONG,-49.14,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,8.0,1.69,0.34
2025,E,context_router_v2_all_r12,10,2025-02-21 06:20:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,strong_breakout_clean_context,strong_breakout,clean_context,7.0,1.61,0.7
2025,E,context_router_v2_all_r12,11,2025-02-24 01:05:00,2025-02-24 02:19:54,XAUUSD,XAUUSD,SHORT,58.94,1.213,strong_breakout_clean_context,strong_breakout,clean_context,6.0,1.16,0.56
2025,E,context_router_v2_all_r12,12,2025-02-24 19:05:00,2025-02-25 01:10:07,USDJPY,FX,SHORT,-52.56,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.43,1.07
2025,E,context_router_v2_all_r12,13,2025-02-24 19:05:00,2025-02-25 09:33:33,AUDJPY,FX,SHORT,56.27,1.206,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.93,0.71
2025,E,context_router_v2_all_r12,14,2025-02-28 07:20:00,2025-02-28 08:49:25,USDJPY,FX,LONG,58.41,1.199,strong_breakout_clean_context,strong_breakout,clean_context,6.0,1.68,0.85
2025,E,context_router_v2_all_r12,15,2025-03-03 04:35:00,2025-03-03 10:24:05,AUDJPY,FX,SHORT,59.55,1.208,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.92,0.37
2025,E,context_router_v2_all_r12,16,2025-03-11 20:20:00,2025-03-11 21:09:57,AUDJPY,FX,SHORT,-49.7,-1.003,strong_breakout_clean_context,strong_breakout,clean_context,8.0,1.37,0.54
2025,E,context_router_v2_all_r12,17,2025-03-21 13:50:00,2025-03-21 15:21:57,GBPJPY,FX,SHORT,56.72,1.201,strong_breakout_clean_context,strong_breakout,clean_context,8.0,1.68,0.78
2025,E,context_router_v2_all_r12,18,2025-03-21 13:50:00,2025-03-21 15:40:03,EURJPY,FX,SHORT,58.85,1.223,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.57,0.42
2025,E,context_router_v2_all_r12,19,2025-03-24 19:50:00,2025-03-24 21:40:32,EURUSD,FX,SHORT,-49.4,-1.011,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.46,0.68
2025,E,context_router_v2_all_r12,20,2025-03-28 16:20:00,2025-03-28 16:25:09,USDJPY,FX,LONG,-50.25,-1.017,weak_breakout_clean_context,weak_breakout,clean_context,8.0,1.02,0.87
2025,E,context_router_v2_all_r12,21,2025-04-08 12:35:00,2025-04-08 13:31:04,XAUUSD,XAUUSD,SHORT,-48.36,-1.019,strong_breakout_clean_context,strong_breakout,clean_context,5.0,1.4,1.29
2025,E,context_router_v2_all_r12,22,2025-04-08 13:35:00,2025-04-08 14:37:56,GBPJPY,FX,SHORT,-48.35,-1.0,strong_breakout_clean_context,strong_breakout,clean_context,6.0,1.68,0.74
2025,E,context_router_v2_all_r12,23,2025-04-08 18:50:00,2025-04-08 19:42:13,XAUUSD,XAUUSD,SHORT,53.19,1.208,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.62,0.3
2025,E,context_router_v2_all_r12,24,2025-04-23 16:35:00,2025-04-23 16:37:51,EURUSD,FX,SHORT,58.41,1.204,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.14,0.5
2025,E,context_router_v2_all_r12,25,2025-05-22 16:20:00,2025-05-22 16:45:00,EURUSD,FX,LONG,-57.2,-1.161,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.17,0.98
2025,E,context_router_v2_all_r12,26,2025-06-20 21:05:00,2025-06-23 01:01:00,XAUUSD,XAUUSD,SHORT,-195.51,-4.071,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.78,0.64
2025,E,context_router_v2_all_r12,27,2025-06-23 05:05:00,2025-06-23 12:15:01,XAUUSD,XAUUSD,SHORT,-41.48,-1.012,strong_breakout_clean_context,strong_breakout,clean_context,6.0,1.59,0.43
2025,E,context_router_v2_all_r12,28,2025-07-14 20:35:00,2025-07-14 23:39:57,XAUUSD,XAUUSD,LONG,-45.9,-1.001,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.78,0.53
2025,E,context_router_v2_all_r12,29,2025-07-16 15:35:00,2025-07-16 16:34:48,XAUUSD,XAUUSD,SHORT,54.09,1.222,strong_breakout_clean_context,strong_breakout,clean_context,5.0,1.65,1.39
2025,E,context_router_v2_all_r12,30,2025-07-29 14:20:00,2025-07-29 17:05:14,XAUUSD,XAUUSD,SHORT,54.74,1.199,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.63,0.6
2025,E,context_router_v2_all_r12,31,2025-09-24 08:20:00,2025-09-24 13:19:55,XAUUSD,XAUUSD,LONG,-47.22,-1.001,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.97,0.61
2025,E,context_router_v2_all_r12,32,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,53.91,1.203,weak_breakout_clean_context,weak_breakout,clean_context,6.0,0.97,0.24
2025,E,context_router_v2_all_r12,33,2025-10-10 15:05:00,2025-10-10 17:03:22,XAUUSD,XAUUSD,SHORT,44.52,1.203,weak_breakout_clean_context,weak_breakout,clean_context,6.0,1.62,0.69
2025,E,context_router_v2_all_r12,34,2025-10-20 01:50:00,2025-10-20 02:49:23,XAUUSD,XAUUSD,LONG,-45.44,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.66,0.22
2025,E,context_router_v2_all_r12,35,2025-11-20 18:50:00,2025-11-21 10:55:47,GBPUSD,FX,SHORT,-47.05,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.31,0.75
2025,E,context_router_v2_all_r12,36,2025-12-26 01:35:00,2025-12-26 02:51:41,XAUUSD,XAUUSD,LONG,55.89,1.202,strong_breakout_clean_context,strong_breakout,clean_context,8.0,1.69,0.92
2025,F,context_router_v3_all_r12,1,2025-01-06 04:20:00,2025-01-06 06:13:39,XAUUSD,XAUUSD,LONG,-53.55,-1.144,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.96,0.9
2025,F,context_router_v3_all_r12,2,2025-01-06 23:20:00,2025-01-07 02:28:33,XAUUSD,XAUUSD,LONG,-59.64,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.86,0.78
2025,F,context_router_v3_all_r12,3,2025-01-14 12:05:00,2025-01-14 15:04:56,GBPJPY,FX,SHORT,57.74,1.199,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.84,0.98
2025,F,context_router_v3_all_r12,4,2025-01-17 15:50:00,2025-01-17 16:00:21,XAUUSD,XAUUSD,LONG,-48.79,-1.014,weak_breakout_clean_context,weak_breakout,clean_context,8.0,0.94,0.23
2025,F,context_router_v3_all_r12,5,2025-01-17 16:20:00,2025-01-17 16:32:22,XAUUSD,XAUUSD,LONG,-47.94,-1.004,weak_breakout_clean_context,weak_breakout,clean_context,8.0,0.87,0.86
