symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,18,3000,163,163,-8.521946791411043e-06,-1.59327e-05,0.0002668335846687116,0.0002187116564417178
AUDUSD,18,5000,163,163,-6.884038895705522e-05,-1.5845098e-05,0.00029980145754601224,0.0002192638036809816
AUDUSD,18,10000,163,163,-0.00010812522060122698,-4.7736115e-05,0.00029742457647852764,0.00022190184049079755
AUDUSD,18,15000,163,163,-8.94078070797546e-05,-4.7736115e-05,0.0003122591716196319,0.0002198159509202454
AUDUSD,18,30000,163,163,-0.000109810338601227,-9.5325098e-05,0.00036035441766871164,0.00021822085889570554
AUDUSD,18,60000,163,163,-0.00014136596353374233,-0.000119154953,0.0003846007526625767,0.00021932515337423316
AUDUSD,18,120000,163,163,-0.00016192203834969327,-0.000103017216,0.0004198780921042945,0.00022042944785276075
AUDUSD,19,250,68,68,-2.1693468676470586e-06,-8.046994500000001e-06,4.7818673573529406e-05,0.00022205882352941179
AUDUSD,19,500,68,68,-1.0761197191176471e-05,-7.900443e-06,5.3799637720588235e-05,0.00022220588235294118
AUDUSD,19,1000,68,68,-1.701273942647059e-05,-1.1831986999999999e-05,7.502234789705882e-05,0.00021970588235294117
AUDUSD,19,2000,68,68,-2.9691915735294116e-05,-1.5984541999999997e-05,7.977612402941177e-05,0.0002211764705882353
AUDUSD,19,3000,68,68,4.574822308823528e-06,-0.0,9.970187525e-05,0.0002198529411764706
AUDUSD,19,5000,68,68,-9.10706930882353e-06,-2.3833653e-05,0.0001239618235735294,0.0002214705882352941
AUDUSD,19,10000,68,68,-5.7443880441176466e-05,-3.1691705e-05,0.00017110122414705882,0.00022191176470588237
AUDUSD,19,15000,68,68,-7.221455663235293e-05,-5.95012305e-05,0.00020313139901470588,0.00022191176470588237
AUDUSD,19,30000,68,68,-5.992338988235295e-05,-6.3813402e-05,0.00020704810664705882,0.00022029411764705882
AUDUSD,19,60000,68,68,2.1110604705882355e-06,-4.4251816999999995e-05,0.00020624733002941176,0.00022
AUDUSD,19,120000,68,68,-5.338263235294511e-08,-1.1652641e-05,0.0002957240343970588,0.00022073529411764707
AUDUSD,20,250,54,54,-1.6438127907407408e-05,-1.5723518e-05,6.74315485e-05,0.00021870370370370373
AUDUSD,20,500,54,54,-2.9171178925925927e-05,-1.5723518e-05,8.601400181481481e-05,0.0002188888888888889
AUDUSD,20,1000,54,54,-4.641054585185185e-05,-3.9559934999999996e-05,0.00010649129774074073,0.00021851851851851852
AUDUSD,20,2000,54,54,-1.2857991074074075e-05,-2.038049999999983e-08,0.00017877376003703704,0.0002190740740740741
AUDUSD,20,3000,54,54,3.0257087888888887e-05,-1.97613005e-05,0.0002338957068888889,0.0002175925925925926
AUDUSD,20,5000,54,54,4.6768938296296295e-05,-7.913272000000001e-06,0.0002330790684814815,0.00022018518518518521
AUDUSD,20,10000,54,54,-5.896764853703703e-05,-7.1204534e-05,0.0002851184693888889,0.000217962962962963
AUDUSD,20,15000,54,54,7.117139018518518e-06,-2.7687333e-05,0.0003353735853888889,0.00021925925925925927
AUDUSD,20,30000,54,54,-0.00011112453892592591,-7.11427485e-05,0.00035572845237037036,0.00021611111111111112
AUDUSD,20,60000,54,54,-6.849174562962963e-05,-4.7414901e-05,0.0002965897280740741,0.00021629629629629633
AUDUSD,20,120000,54,54,-8.409009014814816e-05,-0.00013448520749999998,0.00033839751125925926,0.00021777777777777778
AUDUSD,21,250,149,149,-7.4170690738255035e-06,-7.891383e-06,4.156619347651007e-05,0.0002548322147651007
AUDUSD,21,500,149,149,-6.1686348456375835e-06,-7.890885e-06,5.642933022818792e-05,0.00025496644295302015
AUDUSD,21,1000,149,149,-2.0398182953020133e-06,-0.0,7.666729279194632e-05,0.000255503355704698
AUDUSD,21,2000,149,149,2.465530686577181e-05,1.5745676e-05,0.00010894940689261744,0.00025281879194630875
AUDUSD,21,3000,149,149,2.1568466288590606e-05,-7.862779e-06,0.00013392183846308724,0.00024986577181208055
AUDUSD,21,5000,149,149,5.78184824295302e-05,7.920635e-06,0.0001864296009395973,0.0002497986577181208
AUDUSD,21,10000,149,149,8.313337993959731e-05,3.1687937e-05,0.00028724083175167786,0.0002455704697986577
AUDUSD,21,15000,149,149,8.34326293624161e-05,8.017092e-06,0.0003025886184362416,0.00024255033557046978
AUDUSD,21,30000,149,149,8.095543989932885e-05,3.1581607e-05,0.00032665395244966443,0.00023416107382550334
AUDUSD,21,60000,149,149,8.717978521476509e-05,-1.5836943e-05,0.00035370969930872487,0.00023100671140939596
AUDUSD,21,120000,149,149,0.00013138171905369129,5.5692799e-05,0.0003582219102483222,0.00023208053691275169
AUDUSD,22,250,20,20,-7.132449099999999e-06,-7.884462e-06,3.64968915e-05,0.0002195
AUDUSD,22,500,20,20,-1.579401125e-05,-7.908079e-06,4.201154955e-05,0.0002205
