decision_seconds,horizon_seconds,fold,feature_set,action,model_family,inner_score,parameters,train_rows,test_rows
60,600,2,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,29.09834584055965,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",396,103
60,600,2,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,30.87325500594511,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",396,103
60,600,2,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6989566195046056,"{""C"": 0.1, ""l1_ratio"": 0.9}",396,103
60,600,2,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,29.131996927715555,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",396,103
60,600,3,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,14.356979356057625,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",499,80
60,600,3,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6694863997504287,"{""C"": 0.1, ""l1_ratio"": 0.5}",499,80
60,600,3,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,14.177196418237635,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100}",499,80
60,600,3,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,14.4381853108645,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",499,80
60,600,3,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6281171529478496,"{""C"": 0.1, ""l1_ratio"": 0.9}",499,80
60,600,3,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,14.212133872135933,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,14.348292446243725,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6705125696685198,"{""C"": 0.1, ""l1_ratio"": 0.5}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,14.041897902393696,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 50}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,14.385398460615674,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6279502430229292,"{""C"": 0.1, ""l1_ratio"": 0.5}",499,80
60,600,3,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,14.019689574907195,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 50}",499,80
60,600,4,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,12.532258043179555,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.7351395868443379,"{""C"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,11.993311872813562,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",579,96
60,600,4,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,12.529895170077346,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.633602355024308,"{""C"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,12.039387425079799,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",579,96
60,600,4,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,12.778500118587381,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.7359969413239459,"{""C"": 0.1, ""l1_ratio"": 0.9}",579,96
