family,target,variant,geometry,policy,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,min_month_trades,worst_month_ev,positive_months,robust_gate,all_converged,cost_04_total_r,neighbor_low_total_r,neighbor_high_total_r
ELASTICNET,NET_R,FULL486,5,FREQUENCY_150,880,0.48409090909091,-0.019685179118619,-17.322957624384,-0.25659090909093,-225.80000000002,0.91779838787247,22.393179134975,608,272,77,68,735,-0.0092578526950761,0.096322975669198,-22.299198353991,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9,252,-0.028317874572686,0,False,True,-26.499004877102,-32.615223029673,-3.878719159814
ELASTICNET,NET_R,FULL486,5,FREQUENCY_200,1098,0.48451730418944,-0.025011919926426,-27.463088079216,-0.49608378870673,-544.69999999999,0.89742038656783,35.735401881304,752,346,93,94,911,-0.014533819395827,0.078810313538842,-32.439328808822,1151.0558278689,0.82969034608379,1098,62,0.11626958133113,11,324,-0.035071411124129,0,False,True,-38.968042461814,-32.886852817048,-21.785690368758
ELASTICNET,NET_R,FULL486,5,FREQUENCY_300,1544,0.47733160621762,-0.033953048447964,-52.423506803656,-0.57843264248708,-893.10000000005,0.8662286542088,60.712840893349,1039,505,136,156,1252,-0.023202936020664,0.14132638200229,-57.399747533262,1053.6784786269,0.81088082901554,1544,62,0.092953624835751,14,471,-0.03554522388078,0,False,True,-69.021680391407,-44.810453883384,-46.724011809888
ELASTICNET,NET_R,FULL486,5,PERCENTILE_100,643,0.5054432348367,0.0052525765612255,3.377406728868,0.24183514774494,155.5,1.0232986170495,8.442107942093,459,184,62,42,539,0.015476374431328,0.092981363971267,-1.5988340007382,1107.3237682737,0.83825816485226,643,60,0.15433782232412,7,154,-0.0028633795284678,2,False,True,-3.196495301608,-15.816931256277,0.15187479956473
ELASTICNET,NET_R,FULL486,5,PERCENTILE_150,860,0.48255813953488,-0.02357539187913,-20.274837016052,-0.3668604651163,-315.50000000002,0.90247394872797,26.412055493363,596,264,73,66,721,-0.013199697179137,0.098741399512524,-25.251077745658,1239.2992790698,0.83837209302326,860,62,0.13328170747075,8,243,-0.034098164476558,0,False,True,-29.197934458045,-33.01152413825,-2.4878204086701
ELASTICNET,NET_R,FULL486,5,PERCENTILE_200,1093,0.48307410795974,-0.025471116643639,-27.839930491498,-0.50914913083256,-556.49999999999,0.89537758852066,35.56012452014,750,343,93,92,908,-0.014977310257308,0.068120263673679,-32.816171221104,1152.1906541629,0.83074107959744,1093,62,0.11700616913431,10,312,-0.038531390742959,0,False,True,-39.309660871758,-33.945231566928,-20.914607784732
ELASTICNET,NET_R,FULL486,5,PERCENTILE_300,1534,0.47783572359844,-0.030396921274944,-46.628877235764,-0.52737940026079,-809.00000000004,0.87901157503877,55.808940314981,1035,499,136,149,1249,-0.019674360230624,0.1276152363109,-51.605117965371,1056.068285528,0.8142112125163,1534,62,0.093300416228061,14,479,-0.03213514880809,0,False,True,-63.077285877752,-46.279431782823,-47.521057681119
ELASTICNET,NET_R,SCALE_FREE,1,ABS_0,1180,0.47966101694915,-0.10371135976282,-122.37940452013,-0.43084745762711,-508.39999999999,0.81440453207887,125.87265302868,533,647,557,602,21,-0.060526639813872,0.15671685744543,-127.32011753129,205.5910059322,0.017796610169492,1180,62,0.1745366537862,8,276,-0.1570086164735,0,False,True,-173.33737405988,-140.31720788557,-114.34630204806
ELASTICNET,NET_R,SCALE_FREE,1,ABS_0.05,865,0.46936416184971,-0.12590229455863,-108.90548479322,-0.52947976878612,-458,0.7792055294642,113.1705971453,374,491,399,450,16,-0.082179440456232,0.14963922070699,-113.84562681085,202.09827630058,0.01849710982659,865,61,0.22971914058166,9,174,-0.15736744707451,0,False,True,-146.7257535918,-114.5786799223,-89.925269362103
ELASTICNET,NET_R,SCALE_FREE,1,ABS_0.1,635,0.46299212598425,-0.14469672027775,-91.882417376372,-0.5707086614173,-362.39999999998,0.75126087470309,104.52802670062,267,368,288,335,12,-0.10006911795686,0.14553069979406,-96.822559394006,196.89400629921,0.018897637795276,635,59,0.28652482125544,8,108,-0.1871420926125,1,False,True,-120.22094485014,-117.75011885364,-77.022962758997
ELASTICNET,NET_R,SCALE_FREE,1,ALL,2871,0.46743295019157,-0.13360483015929,-383.57946738732,-0.54918146987114,-1576.7,0.76781602598358,386.49305900777,1312,1559,1322,1502,47,-0.086682545083397,0.26467087547199,-388.52018039848,201.08773632881,0.016370602577499,2871,63,0.0059217181951386,12,853,-0.13986073484065,0,False,True,-518.29334784021,-383.57946738732,-376.27442404112
ELASTICNET,NET_R,SCALE_FREE,1,FREQUENCY_100,510,0.46274509803922,-0.14247217769923,-72.660810626609,-0.57352941176467,-292.49999999998,0.7558409774428,77.988716821097,215,295,233,271,6,-0.103090368919,0.15659193053877,-77.601523637772,195.47120588235,0.011764705882353,510,61,0.28047250493862,10,138,-0.26345731111663,0,False,True,-92.74553310453,-104.12239458364,-47.422065692709
ELASTICNET,NET_R,SCALE_FREE,1,FREQUENCY_150,813,0.46617466174662,-0.1304340281696,-106.04286490189,-0.54956949569494,-446.79999999999,0.77266550646056,112.03016314283,357,456,372,426,15,-0.090017130239756,0.12180710983488,-110.98357791305,206.61234686347,0.018450184501845,813,62,0.22306383520516,10,232,-0.17935897456689,0,False,True,-138.90180291885,-114.75476386278,-83.30214746752
ELASTICNET,NET_R,SCALE_FREE,1,FREQUENCY_200,1036,0.47779922779923,-0.1070651521357,-110.91949761259,-0.44613899613897,-462.19999999998,0.80935198541697,114.15525294304,451,585,487,532,17,-0.066245585273025,0.11770798093508,-115.86021062375,202.29679150579,0.016409266409266,1036,62,0.18376112215246,10,320,-0.18751191394828,0,False,True,-153.20856888232,-124.42573871202,-104.94422199008
ELASTICNET,NET_R,SCALE_FREE,1,FREQUENCY_300,1472,0.48233695652174,-0.097419679873816,-143.40176877426,-0.41582880434782,-612.09999999999,0.82457238958628,149.14524587836,645,827,698,750,24,-0.055193433376815,0.14046192716198,-148.34248178542,202.9968138587,0.016304347826087,1472,62,0.13414538059468,8,465,-0.16285225026259,0,False,True,-205.55880361784,-152.49813116162,-133.85780651149
ELASTICNET,NET_R,SCALE_FREE,1,PERCENTILE_100,529,0.46124763705104,-0.14482349403459,-76.611628344297,-0.60340264650278,-319.19999999997,0.75225716261576,81.922790762622,221,308,241,282,6,-0.10542930914084,0.14053073377949,-81.55234135546,194.23662570888,0.011342155009452,529,61,0.27676790801684,10,134,-0.26813382288896,0,False,True,-97.45115215309,-105.11222999411,-45.349546444485
ELASTICNET,NET_R,SCALE_FREE,1,PERCENTILE_150,804,0.46517412935323,-0.13283585830354,-106.80003007605,-0.55348258706465,-444.99999999998,0.76908697632339,112.78732831699,350,454,367,423,14,-0.092581402398307,0.12730345443484,-111.74074308721,206.50593781095,0.017412935323383,804,62,0.22312156788871,10,228,-0.18711809788265,0,False,True,-139.16461262386,-113.54373259951,-83.501789161789
