episode_id,checkpoint_seconds,market_cluster_id,symbol,session,week,fold,path_class,continuation_r,reversal_r,oracle_r,remaining_mfe,consumed_move
ts15n_delayed_decision_r2_202503_AUDUSD_mh_138,15,3760,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.012789673863
ts15n_delayed_decision_r2_202503_AUDUSD_mh_138,30,3760,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.255793477261
ts15n_delayed_decision_r2_202503_AUDUSD_mh_138,60,3760,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.153476086357
ts15n_delayed_decision_r2_202503_AUDUSD_mh_138,120,3760,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.102317390905
ts15n_delayed_decision_r2_202503_AUDUSD_mh_139,15,3776,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.082318613808
ts15n_delayed_decision_r2_202503_AUDUSD_mh_139,30,3776,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.274395379361
ts15n_delayed_decision_r2_202503_AUDUSD_mh_139,60,3776,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.521351220785
ts15n_delayed_decision_r2_202503_AUDUSD_mh_14,15,950,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.344677569143
ts15n_delayed_decision_r2_202503_AUDUSD_mh_14,30,950,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.297676082442
ts15n_delayed_decision_r2_202503_AUDUSD_mh_14,60,950,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.861693922858
ts15n_delayed_decision_r2_202503_AUDUSD_mh_140,15,3790,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.089632560744
