session,trend_mode,min_breakout_persist,min_spread_z,max_spread_pips,cooldown_bars,stop_loss_pips,target_r,max_hold_bars,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_ny,ema_up,2,0.0,2.0,3,10.0,1.2,12,148,0.3844606600701742,-0.020540540540545337,0.5135135135135135,72,0.8323365311283265,-0.13111111111111465,0.5,0.08945969958159987
london_ny,any,2,0.0,2.0,3,10.0,1.2,6,566,1.4352707069461932,-0.09823321554770868,0.46996466431095407,219,2.531690282181993,-0.16844748858448066,0.4748858447488584,0.08848466332863687
london_ny,ema_up,2,0.0,2.0,3,10.0,1.0,6,149,0.3870583672328105,-0.04208053691276084,0.5167785234899329,72,0.8323365311283265,-0.13361111111112436,0.4861111111111111,0.08332060334961174
all,ema_up,1,0.0,2.0,0,12.0,1.0,12,593,1.506589742232573,-0.08329117481731445,0.5092748735244519,247,2.7572093023255815,-0.15937921727395507,0.46963562753036436,0.08273047524600177
london_ny,ema_up,2,0.0,2.0,3,12.0,1.0,12,146,0.37926524574490156,-0.05713470319634926,0.5205479452054794,71,0.820776301529322,-0.13157276995305373,0.5070422535211268,0.08194998464322294
all,ema_up,1,0.0,2.0,3,10.0,1.0,6,527,1.3388849682427666,-0.052865275142316044,0.5256166982922201,225,2.511627906976744,-0.24800000000000308,0.4488888888888889,0.08121967512648198
all,any,2,0.0,2.0,3,15.0,1.0,12,673,1.701344756153225,-0.07420505200594568,0.4947994056463596,273,3.150757393604232,-0.08280830280830521,0.48717948717948717,0.08108422110469524
london_ny,any,2,0.0,2.0,0,12.0,1.0,12,676,1.7142102436318492,-0.09031065088757588,0.5118343195266272,262,3.028780154939188,-0.08520992366412626,0.5305343511450382,0.07939650653809337
london_ny,ema_up,2,0.0,2.0,3,12.0,1.0,6,147,0.3818629529075379,-0.050623582766447274,0.4965986394557823,71,0.820776301529322,-0.12676056338029523,0.4507042253521127,0.07910597501508566
all,ema_up,1,0.0,2.0,3,12.0,1.2,12,496,1.2601159128800912,-0.07459677419355044,0.48185483870967744,195,2.1767441860465118,-0.2658974358974365,0.38974358974358975,0.0764707173412681
