episode_id,market_cluster_id,symbol,shock_direction,entry_spread,atr14_m5,spread_atr_t0,broker_stop_distance,existing_sl_distance,existing_tp_distance,existing_sl_atr,existing_tp_atr,existing_risk_source,existing_continuation_result,existing_continuation_touch_msc,existing_reversal_result,existing_reversal_touch_msc,status,analysis_ready,high_movement,spread_over_tp_0.20,spread_over_tp_0.30,spread_over_tp_0.40,spread_over_tp_0.50,spread_over_existing_sl
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_46,344,USDJPY,LONG,0.0200000000,0.1263585304,0.158279776899,0.0000000000,0.0800000000,0.0960000000,0.633119107596,0.759742929115,ENTRY_SPREAD,SL_FIRST,1741082888814,TP_FIRST,1741082951772,COMPLETE_3600S,TRUE,NOT_READY,0.7913988844555286,0.5275992563036858,0.3956994422277643,0.31655955378221146,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_47,358,USDJPY,SHORT,0.0190000000,0.1314524802,0.144538923706,0.0000000000,0.0760000000,0.0920000000,0.578155694822,0.699872683206,ENTRY_SPREAD,SL_FIRST,1741084028887,TP_FIRST,1741084035681,COMPLETE_3600S,TRUE,NOT_READY,0.7226946182792525,0.4817964121861683,0.36134730913962626,0.289077847311701,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_48,373,USDJPY,LONG,0.0170000000,0.1412400103,0.127442641529,0.0000000000,0.0680000000,0.0820000000,0.481449979110,0.580572033633,ENTRY_SPREAD,SL_FIRST,1741085089748,TP_FIRST,1741085301301,COMPLETE_3600S,TRUE,NOT_READY,0.6018124738128825,0.401208315875255,0.30090623690644125,0.240724989525153,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_49,385,USDJPY,SHORT,0.0190000000,0.1346781989,0.148502134455,0.0000000000,0.0760000000,0.0920000000,0.564308110927,0.683109818491,ENTRY_SPREAD,SL_FIRST,1741086180559,SL_FIRST,1741086825219,COMPLETE_3600S,TRUE,NOT_READY,0.7053851386187494,0.4702567590791663,0.3526925693093747,0.2821540554474998,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_50,394,USDJPY,SHORT,0.0170000000,0.1323691693,0.120874068225,0.0000000000,0.0680000000,0.0820000000,0.513714789955,0.619479599651,ENTRY_SPREAD,SL_FIRST,1741087237484,SL_FIRST,1741087438667,COMPLETE_3600S,TRUE,NOT_READY,0.6421434874110069,0.4280956582740047,0.32107174370550345,0.2568573949644028,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_51,402,USDJPY,LONG,0.0180000000,0.1260610639,0.142787942992,0.0000000000,0.0720000000,0.0870000000,0.571151771968,0.690141724462,ENTRY_SPREAD,SL_FIRST,1741088149418,SL_FIRST,1741088552285,COMPLETE_3600S,TRUE,NOT_READY,0.7139397147353441,0.47595980982356284,0.35696985736767206,0.2855758858941377,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_52,408,USDJPY,LONG,0.0190000000,0.1202719387,0.149660845171,0.0000000000,0.0760000000,0.0920000000,0.631901346279,0.764933208654,ENTRY_SPREAD,TP_FIRST,1741089547158,SL_FIRST,1741089468046,COMPLETE_3600S,TRUE,NOT_READY,0.7898766830138407,0.5265844553425606,0.39493834150692037,0.3159506732055363,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_53,418,USDJPY,LONG,0.0170000000,0.1246918511,0.144355864839,0.0000000000,0.0680000000,0.0820000000,0.545344378280,0.657621162044,ENTRY_SPREAD,SL_FIRST,1741090337575,TP_FIRST,1741090510148,COMPLETE_3600S,TRUE,NOT_READY,0.6816804727025181,0.4544536484683454,0.34084023635125904,0.27267218908100727,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_54,428,USDJPY,SHORT,0.0160000000,0.1155730821,0.147093074772,0.0000000000,0.0640000000,0.0770000000,0.553762163846,0.666245103378,ENTRY_SPREAD,TP_FIRST,1741091501915,SL_FIRST,1741091256691,COMPLETE_3600S,TRUE,NOT_READY,0.6922027045257798,0.4614684696838533,0.3461013522628899,0.27688108181031196,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_55,433,USDJPY,SHORT,0.0200000000,0.1004082484,0.199186823029,0.0000000000,0.0800000000,0.0960000000,0.796747292117,0.956096750541,ENTRY_SPREAD,TP_FIRST,1741094173326,SL_FIRST,1741094103254,COMPLETE_3600S,TRUE,NOT_READY,0.9959341149108224,0.663956076607215,0.4979670574554112,0.398373645964329,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_56,434,USDJPY,SHORT,0.0190000000,0.0905721593,0.198736566863,0.0000000000,0.0760000000,0.0920000000,0.839109948976,1.015764675076,ENTRY_SPREAD,SL_FIRST,1741094221007,SL_FIRST,1741095114086,COMPLETE_3600S,TRUE,NOT_READY,1.0488874366496417,0.6992582910997611,0.5244437183248208,0.41955497465985664,0.25
