period_id,variant,post_anchor_pullback_bucket,post_anchor_pullback_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,light_or_micro_n_pattern,post_anchor_pullback_reject,none,39,14,0.358974358974359,23.950000000000003,365.9100000000001,-341.96,1.0700374312785124,1.0895000000000006,0.02793589743589745,1.0778164260868945,160.54000000000002,1.6054000000000002,0.1491840039865454,6,0.15384615384615385,10,0.2564102564102564,23,0.5897435897435898,0.7355358974358973,0.5226153846153846,0.6153846153846154,0.4358974358974359,0.3333333333333333,0.20512820512820512,0.0,USDJPY:22|EURUSD:8|EURJPY:5|GBPJPY:4,SHORT:28|LONG:11,london_newyork_overlap:14|new_york:11|london:9|tokyo:5
full2025_validation,micro_n_diag,post_anchor_pullback_pass,clean_retest_reconfirm,6,0,0.0,-48.67,0,-48.67,0.0,-2.1924,-0.3654,0.0,48.67,0.48669999999999997,-1.0,0,0.0,0,0.0,6,1.0,0.3226833333333334,0.5001833333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,EURUSD:4|USDJPY:2,LONG:4|SHORT:2,london_newyork_overlap:5|tokyo:1
full2025_validation,micro_n_diag,post_anchor_pullback_pass,retest_only,3,1,0.3333333333333333,-3.830000000000001,7.36,-11.190000000000001,0.6577301161751563,-0.1351,-0.045033333333333335,0.7093373493975904,11.190000000000001,0.11190000000000003,-0.34226988382484363,0,0.0,0,0.0,3,1.0,0.49466666666666664,0.3290333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,AUDJPY:1|EURUSD:1|USDJPY:1,SHORT:2|LONG:1,new_york:2|tokyo:1
full2025_validation,micro_n_diag,post_anchor_pullback_pass,retest_reconfirm,17,2,0.11764705882352941,-138.43,50.17,-188.6,0.26601272534464476,-6.168000000000001,-0.36282352941176477,0.26948859464196884,138.43,1.3843,-1.0,1,0.058823529411764705,1,0.058823529411764705,15,0.8823529411764706,0.3951705882352941,0.6262705882352941,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,USDJPY:11|EURUSD:3|EURJPY:2|GBPJPY:1,SHORT:13|LONG:4,london:7|london_newyork_overlap:6|tokyo:4
full2025_validation,micro_n_diag,post_anchor_pullback_reject,failed_close_back_inside,19,7,0.3684210526315789,-33.870000000000005,124.22,-158.08999999999997,0.7857549497121894,-1.5933000000000002,-0.08385789473684212,0.7775404205411746,102.03,1.0203,-0.33196118788591594,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895,0.7313210526315791,0.6614684210526316,0.7368421052631579,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.05263157894736842,USDJPY:12|AUDJPY:3|GBPUSD:2|EURJPY:1|EURUSD:1,SHORT:13|LONG:6,new_york:7|london:6|london_newyork_overlap:4|tokyo:2
full2025_validation,micro_n_diag,post_anchor_pullback_reject,none,273,67,0.2454212454212454,-920.0900000000007,1465.68,-2385.7699999999995,0.6143425393059685,-40.23189999999997,-0.14736959706959696,0.6189641390492643,955.1600000000007,9.551600000000006,-0.9632836383433143,30,0.10989010989010989,44,0.16117216117216118,199,0.7289377289377289,0.6074626373626374,0.564176923076923,0.5018315018315018,0.32967032967032966,0.2600732600732601,0.1282051282051282,0.0,USDJPY:158|EURUSD:35|EURJPY:24|GBPUSD:23|GBPJPY:22|AUDJPY:11,SHORT:153|LONG:120,london_newyork_overlap:115|new_york:67|london:59|tokyo:32
full2025_validation,one_light_or_micro_n_first,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
full2025_validation,one_light_or_micro_n_first,post_anchor_pullback_pass,retest_only,1,0,0.0,-5.09,0,-5.09,0.0,-0.2205,-0.2205,0.0,5.09,0.0509,-1.0,0,0.0,0,0.0,1,1.0,1.076,0.2205,1.0,1.0,1.0,0.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
full2025_validation,one_light_or_micro_n_first,post_anchor_pullback_pass,retest_reconfirm,2,0,0.0,-12.41,0,-12.41,0.0,-0.5017,-0.25085,0.0,12.41,0.12409999999999999,-1.0,0,0.0,0,0.0,2,1.0,0.18030000000000002,0.2897,0.0,0.0,0.0,0.0,0.0,USDJPY:2,LONG:1|SHORT:1,london:1|london_newyork_overlap:1
full2025_validation,one_light_or_micro_n_first,post_anchor_pullback_reject,failed_close_back_inside,4,3,0.75,71.5,96.61,-25.11,3.8474711270410196,2.9223,0.730575,3.8993947812282963,25.11,0.2511,2.8474711270410196,1,0.25,3,0.75,0,0.0,1.155775,0.657975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
