scenario,nearest_obstacle_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
overlap_first120_reference,session_low,2,2,1.0,70.80000000000001,70.80000000000001,0,inf,2.9968,1.4984,inf,0.0,inf
overlap_first120_reference,wick_cluster_zone,1,0,0.0,-25.52,0,-25.52,0.0,-1.0134,-1.0134,0.0,25.52,-1.0
target_multiple_1_2_reference,current_day_high,10,4,0.4,-14.499999999999996,96.53,-111.03,0.8694046654057462,-0.5474000000000002,-0.054740000000000025,0.8803706455701734,99.19,-0.14618409113821954
target_multiple_1_2_reference,current_day_low,5,1,0.2,-49.33,29.63,-78.96,0.37525329280648434,-2.1545,-0.4309,0.3573069236046893,71.69,-0.6881015483331009
target_multiple_1_2_reference,none,1,0,0.0,-10.55,0,-10.55,0.0,-0.4272,-0.4272,0.0,10.55,-1.0
target_multiple_1_2_reference,round_number,8,6,0.75,104.79999999999998,135.79,-30.990000000000002,4.381736043885124,4.4605999999999995,0.5575749999999999,4.363698061986275,23.760000000000005,4.410774410774409
target_multiple_1_2_reference,wick_cluster_zone,1,1,1.0,29.09,29.09,0,inf,1.2043,1.2043,inf,0.0,inf
target_multiple_2_0_reference,current_day_high,9,3,0.3333333333333333,-29.999999999999996,80.78999999999999,-110.78999999999999,0.7292174383969672,-1.1979000000000006,-0.13310000000000008,0.7411401158267784,72.53999999999999,-0.41356492969396197
target_multiple_2_0_reference,current_day_low,5,1,0.2,-27.259999999999994,49.45,-76.71,0.6446356407248078,-1.3559999999999999,-0.2712,0.5955015959192196,69.44,-0.3925691244239631
target_multiple_2_0_reference,round_number,7,4,0.5714285714285714,82.16999999999999,123.71000000000001,-41.540000000000006,2.9780934039480016,3.5712,0.5101714285714286,3.036844806935493,23.76,3.4583333333333326
target_multiple_2_0_reference,wick_cluster_zone,1,0,0.0,-30.44,0,-30.44,0.0,-1.2468,-1.2468,0.0,30.44,-1.0
