scenario,symbol_session,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
overlap_first120_reference,USDJPY_london_newyork_overlap,9,4,0.4444444444444444,42.06,133.17000000000002,-91.11,1.4616397760948305,1.8174999999999997,0.2019444444444444,1.4716001972028334,33.58,1.2525312686122694
target_multiple_1_2_reference,AUDJPY_london,2,0,0.0,-30.990000000000002,0,-30.990000000000002,0.0,-1.3260999999999998,-0.6630499999999999,0.0,30.990000000000002,-1.0
target_multiple_1_2_reference,EURJPY_london_newyork_overlap,1,1,1.0,27.92,27.92,0,inf,1.2067,1.2067,inf,0.0,inf
target_multiple_1_2_reference,EURJPY_new_york,1,1,1.0,29.09,29.09,0,inf,1.2043,1.2043,inf,0.0,inf
target_multiple_1_2_reference,EURUSD_london_newyork_overlap,1,0,0.0,-25.28,0,-25.28,0.0,-1.0227,-1.0227,0.0,25.28,-1.0
target_multiple_1_2_reference,EURUSD_new_york,1,1,1.0,2.48,2.48,0,inf,0.145,0.145,inf,0.0,inf
target_multiple_1_2_reference,GBPJPY_london,1,1,1.0,28.26,28.26,0,inf,1.2029,1.2029,inf,0.0,inf
target_multiple_1_2_reference,GBPUSD_london,1,1,1.0,29.83,29.83,0,inf,1.1985,1.1985,inf,0.0,inf
target_multiple_1_2_reference,GBPUSD_london_newyork_overlap,1,0,0.0,-21.66,0,-21.66,0.0,-1.0,-1.0,0.0,21.66,-1.0
target_multiple_1_2_reference,GBPUSD_new_york,1,0,0.0,-24.61,0,-24.61,0.0,-1.0094,-1.0094,0.0,24.61,-1.0
target_multiple_1_2_reference,USDJPY_london,7,5,0.7142857142857143,81.81,113.68,-31.87,3.5669909005334173,3.5203,0.5029,3.624934755051823,31.87,2.566990900533417
target_multiple_1_2_reference,USDJPY_london_newyork_overlap,3,1,0.3333333333333333,10.299999999999997,30.15,-19.85,1.5188916876574305,0.3639999999999999,0.1213333333333333,1.4350944298350465,19.85,0.5188916876574305
target_multiple_1_2_reference,USDJPY_new_york,1,0,0.0,-2.54,0,-2.54,0.0,-0.1303,-0.1303,0.0,2.54,-1.0
target_multiple_1_2_reference,USDJPY_tokyo,4,1,0.25,-45.099999999999994,29.63,-74.72999999999999,0.3964940452294929,-1.8174000000000001,-0.45435000000000003,0.39725391350490846,49.98,-0.902360944377751
target_multiple_2_0_reference,AUDJPY_london,2,0,0.0,-30.990000000000002,0,-30.990000000000002,0.0,-1.3260999999999998,-0.6630499999999999,0.0,30.990000000000002,-1.0
target_multiple_2_0_reference,EURJPY_new_york,1,0,0.0,-30.44,0,-30.44,0.0,-1.2468,-1.2468,0.0,30.44,-1.0
target_multiple_2_0_reference,EURUSD_london_newyork_overlap,1,0,0.0,-25.28,0,-25.28,0.0,-1.0227,-1.0227,0.0,25.28,-1.0
target_multiple_2_0_reference,GBPJPY_london,1,1,1.0,43.29,43.29,0,inf,1.8425,1.8425,inf,0.0,inf
target_multiple_2_0_reference,GBPUSD_london,1,0,0.0,-26.41,0,-26.41,0.0,-1.0611,-1.0611,0.0,26.41,-1.0
target_multiple_2_0_reference,GBPUSD_london_newyork_overlap,1,0,0.0,-21.66,0,-21.66,0.0,-1.0,-1.0,0.0,21.66,-1.0
target_multiple_2_0_reference,GBPUSD_new_york,1,0,0.0,-24.61,0,-24.61,0.0,-1.0094,-1.0094,0.0,24.61,-1.0
target_multiple_2_0_reference,USDJPY_london,7,5,0.7142857142857143,103.65,135.52,-31.87,4.252274866645749,4.4456,0.6350857142857143,4.314890761315338,31.87,3.2522748666457484
